#,"Country,Other",TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,Continent
164,Lesotho,36138,723,25980,16610,332,2175699,Africa
165,Haiti,34667,860,33734,2968,74,11680283,North America
166,Faeroe Islands,34658,28,N/A,703959,569,49233,Europe
167,Mali,33164,743,32332,1544,35,21473764,Africa
168,Cayman Islands,31472,37,8553,467797,550,67277,North America
169,Saint Lucia,30215,410,29805,163225,2215,185113,North America
170,Benin,28036,163,27847,2193,13,12784726,Africa
171,Macao,27673,123,3487,41458,184,667490,Asia
172,Somalia,27334,1361,13182,1623,81,16841795,Africa
173,Micronesia,26547,65,N/A,225953,553,117489,Australia/Oceania
174,San Marino,26185,128,26011,768226,3755,34085,Europe
175,Solomon Islands,25954,199,N/A,35989,276,721159,Australia/Oceania
176,Congo,25375,386,24006,4377,67,5797805,Africa
177,Timor-Leste,23460,138,23102,17131,101,1369429,Asia
178,Burkina Faso,22114,400,21596,1001,18,22102838,Africa
179,Liechtenstein,21574,94,N/A,562013,2449,38387,Europe
180,Gibraltar,20550,113,N/A,609720,3353,33704,Europe
181,Grenada,19693,238,19358,173545,2097,113475,North America
182,Bermuda,18860,165,18685,304493,2664,61939,North America
183,South Sudan,18819,147,18115,1620,13,11618511,Africa
184,Nicaragua,18491,225,4225,2728,33,6779100,North America
185,Tajikistan,17786,125,17264,1786,13,9957464,Asia
186,Equatorial Guinea,17229,183,16907,11512,122,1496662,Africa
187,Monaco,17181,67,N/A,431868,1684,39783,Europe
188,Samoa,17006,31,1605,84089,153,202239,Australia/Oceania
189,Tonga,16950,13,15638,157310,121,107749,Australia/Oceania
190,Marshall Islands,16138,17,16121,268711,283,60057,Australia/Oceania
191,Dominica,16038,74,15964,221691,1023,72344,North America
192,Djibouti,15690,189,15427,15441,186,1016097,Africa
193,CAR,15440,113,15200,3078,23,5016678,Africa
194,Gambia,12626,372,12189,4935,145,2558482,Africa
195,Saint Martin,12324,63,N/A,310194,1586,39730,North America
196,Vanuatu,12019,14,11976,37346,44,321832,Australia/Oceania
197,Greenland,11971,21,2761,210117,369,56973,North America
198,Yemen,11945,2159,9124,383,69,31154867,Asia
199,Caribbean Netherlands,11682,38,10476,438398,1426,26647,North America
200,Sint Maarten,11051,92,10905,251353,2093,43966,North America
201,Eritrea,10189,103,10086,2782,28,3662244,Africa
202,Niger,9931,312,8890,381,12,26083660,Africa
203,St. Vincent Grenadines,9674,124,9493,86723,1112,111551,North America
204,Guinea-Bissau,9614,177,8929,4659,86,2063367,Africa
205,Comoros,9109,161,8939,10038,177,907419,Africa
206,Antigua and Barbuda,9106,146,8954,91509,1467,99509,North America
207,Liberia,8090,295,7783,1525,56,5305117,Africa
208,Sierra Leone,7779,126,N/A,937,15,8306436,Africa
209,Chad,7701,194,4874,442,11,17413580,Africa
210,British Virgin Islands,7392,64,N/A,241600,2092,30596,North America
211,Cook Islands,7203,2,7150,409937,114,17571,Australia/Oceania
212,Sao Tome and Principe,6778,80,6685,29770,351,227679,Africa
213,Turks and Caicos,6752,40,6709,169900,1007,39741,North America
214,Saint Kitts and Nevis,6607,48,6559,122645,891,53871,North America
215,Palau,6290,10,6276,344979,548,18233,Australia/Oceania
216,St. Barth,5507,6,N/A,553746,603,9945,North America
217,Nauru,5393,1,5347,494635,92,10903,Australia/Oceania
218,Kiribati,5085,24,2703,41201,194,123419,Australia/Oceania
219,Anguilla,3904,12,N/A,256336,788,15230,North America
220,Wallis and Futuna,3550,8,438,323256,728,10982,Australia/Oceania
221,Saint Pierre Miquelon,3452,2,2449,599410,347,5759,North America
222,Tuvalu,2943,1,N/A,243909,83,12066,Australia/Oceania
223,Saint Helena,2166,,2,354211,,6115,Africa
224,Falkland Islands,1930,,1930,545352,,3539,South America
225,Montserrat,1403,8,1376,282578,1611,4965,North America
226,Niue,1059,,1056,652898,,1622,Australia/Oceania
,,721,15,706,,,,
227,Diamond Princess,712,13,699,,,,
228,Tokelau,80,,,58055,,1378,Australia/Oceania
229,Vatican City,29,,29,36295,,799,Europe
230,Western Sahara,10,1,9,16,2,626161,Africa
231,MS Zaandam,9,2,7,,,,
